State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,yield,StateCrop_Yield,Crop_Yield,State_Yield,Yield_filled,StateCrop_ProdMed,Crop_ProdMed,N,P,K,pH,temperature,rainfall,Fertilizer
Chhattisgarh,MAHASAMUND,2005,Kharif     ,Mesta,31,64,2.064516129,2.048138412,5.566799498,2.179585844,2.064516129,82,356,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,NEEMUCH,2007,Kharif     ,Soyabean,120327,91381,0.759438862,0.909333153,1.048275962,3.063059939,0.759438862,51546.5,1219,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,KARUR,2009,Whole Year ,Coconut ,5730,88100,15.37521815,2445.177712,4040.403568,65.28759321,15.37521815,76000,224100,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,BELGAUM,1998,Kharif     ,Rapeseed &Mustard,627,87,0.138755981,0.264234444,0.770264534,4.431194149,0.138755981,31,1175,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Andhra Pradesh,VISAKHAPATANAM,2011,Kharif     ,Maize,6359,25112,3.949048593,4.833392654,2.632769546,195.1385872,3.949048593,9138,2280,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,CHITRAKOOT,2004,Kharif     ,Soyabean,13,6,0.461538462,0.800630477,1.048275962,5.28464394,0.461538462,19,1219,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Rajasthan,PALI,2003,Rabi       ,Peas & beans (Pulses),34,34,1,1.706447659,1.266965015,2.841470918,1,104,340,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Odisha,SONEPUR,2014,Winter     ,Moong(Green Gram),1687,595.5,0.35299348,0.270952863,0.452434518,3.72545989,0.35299348,145.2,129.75,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BALLIA,2009,Kharif     ,Moong(Green Gram),1,0.491587224,,0.491587224,0.452434518,5.28464394,0.491587224,43,129.75,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,DHAR,2001,Whole Year ,Sannhamp,206,295,1.432038835,1.575699692,1.200309682,3.063059939,1.432038835,56,20,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,UNNAO,2002,Kharif     ,Small millets,11,14,1.272727273,0.734565187,0.65997565,5.28464394,1.272727273,33,211.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Chhattisgarh,KABIRDHAM,2014,Kharif     ,Rice,102157,138630,1.357028887,1.431274121,1.995013791,2.179585844,1.357028887,243374,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,PATNA,2010,Rabi       ,Sunflower,7,10,1.428571429,1.284612896,0.944233258,3.509813832,1.428571429,54,180,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,CHAMARAJANAGAR,2009,Whole Year ,Coconut ,11365,80807,7.11016278,8.424818153,4040.403568,4.431194149,7.11016278,21242.97,224100,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,KRISHNAGIRI,2005,Kharif     ,Cotton(lint),2275,2359,1.036923077,2.06263101,2.063290356,65.28759321,1.036923077,4336,3000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,JORHAT,1998,Whole Year ,Tapioca,5,25,5,5.434641369,18.77341183,148.6304681,5,178,2000.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Maharashtra,RATNAGIRI,2009,Kharif     ,Ragi,17200,22300,1.296511628,1.017713072,1.198069892,4.367612637,1.296511628,8150,311,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,FIROZABAD,2006,Kharif     ,Sannhamp,5,1,0.2,0.323804803,1.200309682,5.28464394,0.2,7,20,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,CHIKMAGALUR,2003,Kharif     ,Horse-gram,3361,1411,0.419815531,0.468374538,0.453746091,4.431194149,0.419815531,892,300.35,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Chhattisgarh,DANTEWADA,2001,Kharif     ,Arhar/Tur,994,422,0.424547284,0.496234651,0.797442842,2.179585844,0.424547284,754.5,878,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Andhra Pradesh,VISAKHAPATANAM,2009,Kharif     ,Maize,5913,12926,2.18603078,4.833392654,2.632769546,195.1385872,2.18603078,9138,2280,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,GULBARGA,2011,Rabi       ,Wheat,16516,24893,1.507205134,0.890323021,2.092278562,4.431194149,1.507205134,3843.5,58988,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,KAIMUR (BHABUA),2003,Whole Year ,Garlic,9,14,1.555555556,1.438299444,3.320252292,3.509813832,1.555555556,45,162,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,FARRUKHABAD,1998,Kharif     ,Urad,888,622,0.70045045,0.541431909,0.493911727,5.28464394,0.70045045,306,366,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,ETAH,2003,Kharif     ,Moong(Green Gram),655,153,0.233587786,0.491587224,0.452434518,5.28464394,0.233587786,43,129.75,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Rajasthan,PRATAPGARH,2010,Kharif     ,Rice,1324,2681,2.024924471,1.501060553,1.995013791,2.841470918,2.024924471,1304,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,SHIMOGA,2008,Whole Year ,Coconut ,6655,55567,8.349661908,8.424818153,4040.403568,4.431194149,8.349661908,21242.97,224100,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,AURAIYA,1998,Kharif     ,Rice,42018,109833,2.613951164,2.077233843,1.995013791,5.28464394,2.613951164,96080,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,DINDIGUL,2002,Whole Year ,Banana,3325,85802,25.80511278,41.32571836,27.0647554,65.28759321,25.80511278,86895,12176,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,UMARIA,2009,Whole Year ,Masoor,5680,2936,0.516901408,0.476749768,0.701271409,3.063059939,0.516901408,1888.5,531,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,DHARWAD,2004,Rabi       ,Jowar,44291,32994,0.744936895,1.229208938,1.048582467,4.431194149,0.744936895,3961,2000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Gujarat,PORBANDAR,2009,Kharif     ,Cotton(lint),5600,16900,3.017857143,2.664529721,2.063290356,5.716670782,3.017857143,123400,3000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Chhattisgarh,KANKER,2011,Whole Year ,Turmeric,10,9,0.9,1.033257054,2.755895142,2.179585844,0.9,15,125.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Odisha,NAYAGARH,2006,Autumn     ,Groundnut,251,162.9,0.649003984,1.066464224,1.195073612,3.72545989,0.649003984,240.55,929.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,SAHARANPUR,2013,Rabi       ,Onion,24,488,20.33333333,14.37844593,11.85524334,5.28464394,20.33333333,1426,1718,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Rajasthan,BUNDI,1999,Rabi       ,Linseed,475,302,0.635789474,0.794241794,0.521592271,2.841470918,0.635789474,20,146,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,GOLAGHAT,2006,Whole Year ,Dry chillies,265,173,0.652830189,0.661720625,1.372475632,148.6304681,0.652830189,313,259,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,PUDUKKOTTAI,2005,Whole Year ,Banana,4050,204626,50.52493827,41.32571836,27.0647554,65.28759321,50.52493827,86895,12176,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,BHOJPUR,1997,Whole Year ,Potato,3228,33525,10.38568773,8.926838502,12.86702455,3.509813832,10.38568773,25361,6437,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Himachal Pradesh,LAHUL AND SPITI,2004,Rabi       ,Barley,592,852,1.439189189,1.216321434,1.822868366,1.936961378,1.439189189,2425,1287,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,BALAGHAT,2010,Rabi       ,Khesari,11077,5508,0.497246547,0.664476785,0.787006317,3.063059939,0.497246547,92,742,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BARABANKI,1997,Kharif     ,Rice,139476,276910,1.985359488,2.077233843,1.995013791,5.28464394,1.985359488,96080,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,KANPUR NAGAR,2001,Rabi       ,Barley,13514,30467,2.254476839,2.184347657,1.822868366,5.28464394,2.254476839,2964,1287,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,GUNA,2009,Whole Year ,Masoor,1839,1349,0.733550843,0.476749768,0.701271409,3.063059939,0.733550843,1888.5,531,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,SIVASAGAR,2011,Rabi       ,Urad,239,134,0.560669456,0.552386355,0.493911727,148.6304681,0.560669456,654.5,366,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,KARBI ANGLONG,2000,Kharif     ,Sesamum,2426,1749,0.720939819,0.529245024,0.459043106,148.6304681,0.720939819,172,161.1,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,PURNIA,1997,Rabi       ,Tobacco,151,108,0.715231788,1.345869324,1.93186594,3.509813832,0.715231788,90,61,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,TIRUVANNAMALAI,2013,Whole Year ,Tobacco,62,86,1.387096774,1.586595562,1.93186594,65.28759321,1.387096774,136.5,61,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
