State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield_calc,StateCrop_Yield,Crop_Yield,State_Yield,Yield_filled,StateCrop_ProdMed,Crop_ProdMed,N,P,K,ph,temperature,rainfall,Fertilizer_avg
Madhya Pradesh,SHAJAPUR,2007,Kharif     ,Maize,41737,33053,0.791935213,1.440095752,2.632769546,3.063059939,0.791935213,10105,2280,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,BONGAIGAON,2009,Summer     ,Rice,10028,23102,2.303749501,1.585175699,1.995013791,148.6304681,2.303749501,23936.5,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,GONDA,2010,Kharif     ,Guar seed,27,22,0.814814815,0.832088422,0.980180161,5.28464394,0.814814815,22,95,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,KHAGARIA,2007,Rabi       ,Masoor,604,622,1.029801325,0.829080313,0.701271409,3.509813832,1.029801325,1715,531,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Tamil Nadu,VILLUPURAM,2008,Whole Year ,Rapeseed &Mustard,2,1,0.5,0.259930181,0.770264534,65.28759321,0.5,2.5,1175,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,SAGAR,2005,Whole Year ,Sweet potato,150,750,5,5.77271395,8.848028918,3.063059939,5,282,446.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Himachal Pradesh,BILASPUR,2006,Kharif     ,Dry chillies,11,4,0.363636364,0.301218674,1.372475632,1.936961378,0.363636364,6.162796078,259,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Telangana,RANGAREDDI,2003,Whole Year ,Cabbage,459,0,0,0,11.92046153,101.2110173,0,0,0,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,ETAH,2008,Kharif     ,Bajra,71206,129998,1.825660759,1.359246282,1.173871632,5.28464394,1.825660759,3259.5,1649,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttarakhand,NAINITAL,2005,Rabi       ,Barley,940,834,0.887234043,1.217504476,1.822868366,3.316488923,0.887234043,1611,1287,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,SHIVPURI,2005,Kharif     ,Small millets,109,10,0.091743119,0.322236972,0.65997565,3.063059939,0.091743119,400,211.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BAREILLY,1997,Kharif     ,Groundnut,2668,2377,0.890929535,0.852379086,1.195073612,5.28464394,0.890929535,262,929.5,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,HARDOI,1998,Kharif     ,Moong(Green Gram),310,84,0.270967742,0.491587224,0.452434518,5.28464394,0.270967742,43,129.75,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BALRAMPUR,2002,Kharif     ,Urad,2096,451,0.215171756,0.541431909,0.493911727,5.28464394,0.215171756,306,366,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,BHOJPUR,2014,Winter     ,Rice,99721,287766,2.885711134,1.467558229,1.995013791,3.509813832,2.885711134,21503,30519,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,VARANASI,2007,Summer     ,Moong(Green Gram),62,34,0.548387097,0.491587224,0.452434518,5.28464394,0.548387097,43,129.75,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
West Bengal,PURULIA,2008,Kharif     ,Jowar,26,10,0.384615385,0.647170454,1.048582467,53.3348132,0.384615385,33,2000,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,SITAPUR,2001,Rabi       ,Linseed,58,24,0.413793103,0.427932509,0.521592271,5.28464394,0.413793103,20,146,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Bihar,GAYA,2003,Kharif     ,Other Kharif pulses,80,41,0.5125,0.665887294,0.501818458,3.509813832,0.5125,31,200,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Madhya Pradesh,NARSINGHPUR,2003,Whole Year ,Citrus Fruit,9,0,0,0,4.044965905,3.063059939,0,0,62,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Andhra Pradesh,GUNTUR,2003,Kharif     ,Sesamum,16291,4773,0.292983856,0.246549421,0.459043106,195.1385872,0.292983856,281,161.1,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Chhattisgarh,JASHPUR,2013,Whole Year ,Banana,33,1028,31.15151515,37.35368384,27.0647554,2.179585844,31.15151515,543,12176,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Assam,BONGAIGAON,1997,Whole Year ,Niger seed,353,177,0.501416431,0.545242434,0.385643572,148.6304681,0.501416431,131,156,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,CHIKMAGALUR,2014,Kharif     ,Onion,7343,38374,5.225929457,7.271978443,11.85524334,4.431194149,5.225929457,2222,1718,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Karnataka,BAGALKOT,2012,Rabi       ,Maize,24328,63025,2.590636304,2.830313114,2.632769546,4.431194149,2.590636304,2503,2280,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
Uttar Pradesh,BULANDSHAHR,2005,Whole Year ,Dry chillies,589,538,0.913412564,0.893677011,1.372475632,5.28464394,0.913412564,61,259,69.52290026,20.70819361,17.80626803,6.469480065,25.61624385,103.4636554,66.48743316
